iso3	country	overall	tier	Economic.PC1	Environmental.PC1	Human.PC1	Political.PC1	Security.PC1	Societal.PC1	eco	env	hum	pol	sec	soc
SSD	South Sudan	-4,56911575388524	extreme	-2,99253296508337	-1,90871695216079	-6,18465519004717	-4,11517075478019	-6,36993085319885	-3,96193384172347	1	1	1	1	1	1
SOM	Somalia	-4,45121346872256	extreme	-3,07207313977496	-3,30792534969376	-4,99822046955771	-2,52117408705183	-5,59889327114895	-2,90688988706933	1	1	1	2	1	1
AFG	Afghanistan	-4,39521576407208	extreme	-3,23990831993694	-2,83625233634947	-3,92353876696687	-4,55280803845667	-4,68011493597264	-4,6724073493342	1	1	1	1	1	1
YEM	Yemen	-4,29634349561592	extreme	-3,73948907070615	-3,2483795647466	-3,98775326223098	-4,4480965601476	-4,72988712293806	-3,2175493763634	1	1	1	1	1	1
COD	Congo (the Democratic Republic of the)	-4,26574610570421	extreme	-2,29228488063321	-2,97630207463687	-5,56002665110718	-2,96802014419715	-4,62496386681755	-3,2057965444775	2	2	1	1	1	1
CAF	Central African Republic (the)	-4,05336651683895	extreme	-1,93507283405211	-2,45877760089515	-7,09606105262161	-2,86345662948003	-6,16281672569111	-3,01442484762699	2	2	1	1	1	1
TCD	Chad	-3,84558664245733	extreme	-1,80133234474352	-2,31968993762647	-6,512864661371	-4,38190143652782	-2,1972812235723	-2,64635322043565	2	1	1	1	2	1
SDN	Sudan (the)	-3,80971265558875	extreme	-4,40493400615588	-0,419354013592821	-3,75409597517009	-3,77583095682347	-4,97678099292951	-2,77419061472846	1	3	1	1	1	1
HTI	Haiti	-3,61897182456243	extreme	-1,2935553747081	-2,91332892094453	-2,49960757494022	-2,74377259575467	-3,03567697636064	-3,26853371380558	2	1	1	2	2	1
SYR	Syrian Arab Republic (the)	-3,61130431902861	extreme	-2,95981790434094	-2,416588059336	-1,65405747103575	-4,57084996831335	-6,82847274042054	-3,9466680841995	1	2	1	1	1	1
COG	Congo (the)	-3,42214069542158	extreme	-2,35179178503507	-1,70417697452917	-2,87792367708979	-3,75588066739468	-1,11119701519366	-2,92252160358228	2	2	1	1	3	1
BDI	Burundi	-3,13496320918022	extreme	-1,60325977123991	-1,44838448466913	-3,41667162170601	-3,45648295640924	-1,12958277331174	-3,14085683350298	2	2	1	1	3	1
ERI	Eritrea	-2,96377122573912	extreme	-1,4674882672511	-1,77261490601616	-3,66978466826119	-4,96646386910166	-1,48159516226148	-4,05788079119632	1	2	1	1	2	1
LBY	Libya	-2,89620338557164	extreme	-3,39192346745939	-2,13282431161608	-0,575282347244066	-2,60870109944561	-3,0967410914768	-2,62208312360878	3	2	2	2	2	1
GNQ	Equatorial Guinea	-2,84328420181668	extreme	-2,45172931081555	-0,601611813952873	-4,11234313959292	-4,28015773400724	0,326633373466944	-2,79336071012769	2	3	1	1	3	1
IRQ	Iraq	-2,82368605893254	extreme	-3,3381638688301	-2,0465290032473	-0,266941121894439	-2,04714378058929	-2,41591210820716	-2,25763385828635	2	2	3	2	2	1
MDG	Madagascar	-2,80085413775646	extreme	-0,670627340698105	-2,79716512264757	-4,21973052918048	-1,29029136648777	-0,560512419665769	-1,56686653244914	4	1	1	2	3	1
CMR	Cameroon	-2,75085698401302	extreme	-0,766891909806286	-1,2570729992837	-3,32022977271981	-2,96166813170584	-2,22678267895728	-2,49334439414452	4	2	1	1	2	1
MOZ	Mozambique	-2,63571948647473	high	-0,696751555597761	-1,86504581180668	-4,80731003584	-1,01649149907837	-1,81645136795994	-1,84673879834411	2	2	1	2	2	1
MMR	Myanmar	-2,63501394619842	high	-1,38306569394603	-2,62377090026208	-0,102261374250182	-4,28387641580642	-4,04344880972562	-2,95037559621145	2	1	3	1	1	1
PNG	Papua New Guinea	-2,62021891086083	high	-0,804824781712767	-2,37884123010827	-4,24226392207285	-0,528422575829455	-1,87271911611854	-0,384915733249703	3	1	1	3	2	3
MLI	Mali	-2,60251000355113	high	-1,01793710846957	-1,30667944565046	-4,17683252285984	-1,44519013471222	-4,60237945930782	-1,02824765611577	2	3	1	2	1	3
ZWE	Zimbabwe	-2,5817656495108	high	-2,59307367722923	-1,92225850868604	-2,58222432450054	-2,48191515060186	0,0373596761162267	-0,915081573723421	1	2	1	2	4	3
AGO	Angola	-2,53599332584237	high	-1,00311350285814	-1,73513475104798	-5,75922766579047	-1,48938976546234	0,154446533158292	-2,51578421369608	2	2	1	2	4	1
GIN	Guinea	-2,53407525633295	high	-0,888291559714759	-0,481383776767895	-4,84197013016523	-3,30637116237018	-1,24534664299365	-2,14484502315488	2	3	1	1	3	1
LBR	Liberia	-2,45931373782678	high	-1,16137987897924	-1,64373090756528	-3,8910431782159	0,0534792759165578	-0,922004231850609	-0,0822145413184898	2	2	1	3	3	3
PAK	Pakistan	-2,38237216860903	high	-1,88272376896955	-2,72100128316587	-2,26648110736649	-1,8932321122131	-0,628683293794773	-1,56669764242114	2	2	1	2	4	3
UGA	Uganda	-2,35667639976198	high	-0,730066458610737	-1,73846278337048	-3,49289881006266	-1,71920044745908	-0,390154764215668	-1,93292643119932	4	2	1	2	3	1
TJK	Tajikistan	-2,30378152000624	high	-1,00804717668756	-1,53968030825951	-0,605903017052461	-4,39707664762936	-0,721832216399184	-3,62111157936744	2	1	2	1	3	1
BFA	Burkina Faso	-2,28659364244036	high	-0,922386304041607	-1,06033267671545	-3,91458632518838	-1,65967647121025	-4,59414604780993	-0,482756821757434	2	3	1	2	1	3
COM	Comoros (the)	-2,2627677637927	high	-1,31718150827481	-0,055397993545394	-1,84924565348401	-2,97372729659782	-0,92919357336232	-1,90215133374838	2	3	2	1	3	1
NER	Niger (the)	-2,20555466260957	high	-0,861820161262771	-1,53651071874684	-5,83842387536267	-1,0181550558167	-2,77532782226885	0,618596039219276	2	3	1	2	2	3
GNB	Guinea-Bissau	-2,18115650107075	high	-1,39202667627448	-0,866086583476109	-2,89158327972282	-0,688679437132118	-1,63332693112512	-1,28971637363422	2	3	1	2	2	3
